filename,Participant,Session,Block,Trial,OnsetDelay,Bias,Prime,Probe,Response1,Response2,RT1,RT2
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,22,0.5739277847245059,right,stripes-8,stripes-8,right,right,0.27388814924643157,0.31185529418735314
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,23,0.6693228301843855,right,heavy poles sphere,stripes-8,right,right,0.3600811315877763,0.27994378508947193
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,24,0.5389805542700844,left,stripes-2,heavy poles sphere,right,right,0.21778488498102888,0.31170539605273007
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,25,0.5283023048830284,right,stripes-4,stripes-8,right,right,0.302681652748106,0.32784214793446154
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,26,0.5819209091295916,right,heavy poles sphere,stripes-2,right,right,0.3988832899967747,0.2399576802113188
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,27,0.6578984582654268,left,stripes-8,heavy poles sphere,right,right,0.3797408006239493,0.23191169569281556
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,28,0.69410079235785,right,heavy poles sphere,stripes-4,right,right,0.3037315616743399,0.23980311719697056
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,29,0.5042795803566005,left,stripes-2,stripes-8,right,right,0.2855005897963565,0.20786424080461074
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,30,0.5886298366279685,left,stripes-4,stripes-2,right,right,0.2178445954414201,0.26381107610404797
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,31,0.6408525934028733,left,heavy poles sphere,heavy poles sphere,right,right,0.44688583515517166,0.24769640465274279
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,32,0.587832645788671,left,heavy poles sphere,stripes-4,right,right,0.40306302221415535,0.2396973799236548
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,33,0.6500148617742304,right,stripes-4,stripes-2,right,right,0.44569380289385663,0.24782888723621
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,34,0.5182046813417502,left,heavy poles sphere,heavy poles sphere,right,right,0.26261811086669695,0.2558493704123066
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,35,0.5205586388684038,right,stripes-4,stripes-4,right,right,0.38030773900436543,0.2399387097007093
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,36,0.6793159081234903,right,stripes-2,stripes-2,right,right,0.391753176860675,0.20784620326958247
